,dummy_column
dummy_index,0
 intestino tc1,0
 paloma,0
(D) Blad OL,0
(D) Blad Opt,0
(D) CD OL,0
(D) CD OPT,0
(D) LB OL,0
(D) PRSV OL,0
(D) PRSV OPT,0
(D) PTV 70.2 OL,0
(D) Rect Opt,0
(D)Ptv 70.2 opt,0
(PTV2-dig)-rct,0
(ptv pelvis),0
(ptvopt-dig)-rec,0
1,0
10 Gy 2015,0
100%buiten PTV2,0
2,0
2MARKUP_PTVA,0
2OPT_Bladder,0
2OPT_Bowel,0
2OPT_Bowel+PTVA,0
2OPT_PTVA,0
2OPT_PTVA_BST,0
2OPT_PTVA_BST2,0
2OPT_PTVB,0
2OPT_PTVB BST,0
2OPT_PTVB_CTRL,0
2OPT_Rectum,0
2PTVA_Ring,0
2PTVB,0
2PTVexp,0
2Prostate,0
3,0
3Reperi,0
4,0
4536.80cGy,0
51.3gy,0
5350.00cGy,0
5350.00cGy_1,0
"62,51G_exPTV1",0
62.51G_exPTV1,0
6420.00cGy,0
72.5%,0
76,0
ABO,0
AJM Bowel,0
AJM bladder,0
AJM rectum,0
ALL_Targets_exp,0
ALLtarget,0
ALO_In_Vivo_PT,0
ANO,0
ANO TC1,0
ANO TC2,0
ANORETTO,0
ANOin,0
ANSA,0
ANSE,0
ANSE 0.5mm,0
ANSE INTESTINALI,0
ANT_In_Vivo_PT,0
APEX,0
ARIA,0
ARO_In_Vivo_PT,0
ARTEFACT,0
ARTIFACT,0
AVOID,0
A_inPTV1,0
Abdominalhoehle,0
AcqIsocenter,0
Acqua,0
Addbody,0
Adenop,0
Adenopatias,0
AllTarget,0
AllTargets,0
AnCa_exPTV1_3,0
AnCa_exPTV1c_3,0
AnCa_exPTV1fr18,0
AnCan+Rec,0
AnCan+Rec inPTV,0
AnCan+Rec noPTV,0
Anaal kanaal,0
Anal Canal,0
Anal Canal inPTV,0
Anal Canal noPTV,0
Anal canal,0
Anal canal inPTV,0
Anal canal noPTV,0
Anal+Rectum,0
AnalCanal,0
AnalCanal inPTV,0
AnalCanal noPTV,0
AnalCanal+Rectum,0
AnalCanal-PTV,0
AnalCanalInPTV,0
AnalCanalRectum,0
AnalSphincter,0
Anal_canal,0
Analcanal,0
Anca_inPTV1,0
Ano,0
Ano 1,0
Ano 2,0
Ano TAC 1,0
Ano TAC 2,0
Ano TC 1,0
Ano TC 2,0
Ano TC2,0
Ano tac 1,0
Ano tc 1,0
Ano tc 2,0
Ano tc 3,0
Ano tc 4,0
Ano tc1,0
Ano tc2,0
Anoretto,0
Ant_In_Vivo_PT,0
Anus,0
Anus (ant.),0
Anus (ext.),0
Anus (int.),0
Anus (post.),0
Apex,0
Artefact,0
Artefacts,0
Artefakte,0
Artefatti,0
Artifact,0
Artificial HIP,0
Avoidance,0
Avoidance 56,0
Avoidance 70,0
Avoidance 77,0
Avoidance0,0
Ax_lim,0
BLADDER,0
BLADDER MIN FILL,0
BLADDEROPT,0
BLADDEROPT2,0
BL_inPTV1c,0
BMILEO,0
BMILEO IN54,0
BMLS,0
BMLS IN54,0
BMPELVIS,0
BMPELVIS IN54,0
BMPELVIS IN74,0
BMS LS,0
BMS ileo,0
BM_ILEO,0
BM_LS,0
BM_PELVIS,0
BODY,0
BOOST,0
BOOst,0
BOWEL,0
BOWEL AND PTVB,0
BOWEL IN PTVA,0
BOWEL KVK,0
BOWEL2,0
BULBO,0
BULBO P,0
BULBO PENIENO,0
BaseDroite,0
BaseGauche,0
Bauchhöhle,0
Beacons,0
Becken,0
Becken 44Gy,0
Becken LAW,0
Becken/LAW,0
Becken_mod,0
Beckenknochen,0
Bl_exPTV1_3,0
Bl_exPTV1c_3,0
Bl_exPTV1fr18,0
Bl_inPTV1,0
Bl_inPTV1fr18,0
Bl_inPTV2,0
Blaas,0
Blaas Crop,0
Blaas noPTV,0
Blad_inPTV1,0
Bladd in PTV,0
Bladd&PTV,0
Bladder,0
Bladder CT,0
Bladder Crop,0
Bladder Eval,0
Bladder Liam,0
Bladder Opt,0
Bladder Opt 2,0
Bladder Opt2,0
Bladder Wall,0
Bladder avoid,0
Bladder avoid1,0
Bladder avoid2,0
Bladder correct,0
Bladder in PTV,0
Bladder noPTV,0
Bladder opt,0
Bladder opt1,0
Bladder wall,0
Bladder-PTV,0
BladderWall,0
Bladder_Inside,0
Bladder_PTV,0
Bladder_opt45Gy,0
Bladder_opt70.2G,0
Bladder_out,0
Bladder_yl,0
Bladdo,0
Blase,0
Blase MRT,0
Blase union,0
Blood vessels,0
Blood vessels2,0
Body,0
Body1,0
Bolsa colostom,0
Bolus Bag,0
Bones,0
Boost,0
Boost Loge,0
Bowel,0
Bowel 56,0
Bowel Bag,0
Bowel Bag noPTV,0
Bowel InPTV,0
Bowel JD,0
Bowel NoPTV,0
Bowel PTV,0
Bowel PTV70,0
Bowel and PTVA,0
Bowel and PTVB,0
Bowel bag,0
Bowel bag noPTV,0
Bowel in Loge,0
Bowel in PTV,0
Bowel in PTVA,0
Bowel in PTVB,0
Bowel in PTVN,0
Bowel in Pelvis,0
Bowel inPTV,0
Bowel noPTV,0
Bowel not,0
Bowel not Loge,0
Bowel not PTV,0
Bowel not Pelvis,0
Bowel-PTV56,0
Bowel1,0
BowelB-PTV_5600,0
BowelB-PTV_7700,0
BowelBAG,0
BowelBInPTV_5600,0
BowelBInPTV_7700,0
BowelBag,0
BowelBag Crop,0
BowelBag in PTV,0
BowelBag noPTV,0
BowelBag not PTV,0
BowelBag-PTV,0
BowelBag-Pelv_05,0
BowelBagInPTV,0
BowelBagInPTV56,0
BowelBagInPTV70,0
BowelBagInPTV_66,0
BowelBagInPTV_77,0
BowelBagInPTVt,0
BowelInPTV,0
BowelInPelvis,0
BowelNotPTV,0
BowelOPT,0
Bowel_Check,0
Bowelbag,0
BowelbagInPTV70,0
BowelinPTV,0
BowelinPTVLoge,0
BowelnotPTV,0
Bowels,0
Bowels Opt,0
Bst,0
Bulb,0
Bulb Penis,0
Bulb penis,0
Bulb penis crop,0
BulbPenis,0
BulbPenis-PTV,0
Bulbo,0
Bulbus,0
Bulbus Penis,0
Bulbus p.,0
Bulbus penis,0
Bulbus penis_1,0
CALYPSO,0
CALYPSO 1,0
CALYPSO 2,0
CALYPSO 3,0
CALYPSO1,0
CALYPSO2,0
CALYPSO3,0
CANALE ANALE,0
CAUDA,0
CAV ADDOM 0.5mm,0
CAVITA ADDOMINAL,0
CAVITA INTESTINA,0
CDPTV,0
CDPTVOPT,0
CENTRATURA,0
CI-5mm,0
COLD,0
COLON,0
COLON TAC 2,0
COLON-SIGMA,0
CONTOUR EXTERNE,0
CORD,0
CORR,0
CTV,0
CTV  DIL,0
CTV  P michi,0
CTV  PROSTATA,0
CTV  VS,0
CTV 45,0
CTV 50,0
"CTV 50,4 Gy",0
CTV BOOST,0
CTV CD,0
CTV KLIER,0
CTV LAO,0
CTV LN,0
CTV LNF +,0
CTV LOGE,0
CTV LOGGIA,0
CTV LOGGIA BOOST,0
CTV LOGGIA PROST,0
CTV Loge,0
CTV Meta,0
CTV N,0
CTV N - Bowel,0
CTV N PET +,0
CTV N exp,0
CTV N+ PET,0
CTV N2,0
CTV Nesp,0
CTV P,0
CTV P VS,0
CTV P+ VS,0
CTV P+VS,0
CTV PELVI,0
CTV PROSTATA,0
CTV PROSTATA + V,0
CTV Para-aort.,0
CTV Pelvis,0
CTV Prostaat,0
CTV Prostaat +zb,0
CTV Prostaatloge,0
CTV Prostloge,0
CTV RECIDIVA,0
CTV SCN dx,0
CTV TC,0
